LAT,LON,Link_length,Avg_speed,Speed_limit,Time(hrs),Accum_len,Accum_time(hrs),highway,avoid_highway,urban,oneway,both_ways,limited_access,not_paved,ramp,manoeuvre,roundabout,one_lane,multiple_lanes,traffic_lights,railway_crossing,no_overtaking,traffic_signs,stop_signs,school_zone,icy_road,crosswalk,animal_crossing,lane_merge_right,lane_merge_left,falling_rocks,hills,tunnel,bridge,road_roughness_good,road_roughness_fair,road_roughness_poor,speed_bump,toll_station,lane_marker_long_dashed,lane_marker_short_dashed,lane_marker_double_dashed,lane_marker_double_solid,lane_marker_single_solid,lane_marker_inner_solid_outter_dashed,lane_marker_inner_dashed_outter_solid,lane_marker_no_divider,lane_marker_physical_divider,hov_lane,reversible_lane,express_lane,slow_lane,auxiliary_lane,shoulder_lane,passing_lane,turn_lane,parking_lane,center_turn_lane,parking_lot,functional_class_1,functional_class_2,functional_class_3,functional_class_4,functional_class_5
42.70147,-83.25501,80.18,40.0,None,0.0020045,0.08018000000000002,0.0020045,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70089,-83.25529,68.84,40.0,None,0.0017209999999999999,0.14902,0.0037255,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70082,-83.25504,21.91,72.0,72,0.00030430555555555555,0.17093000000000003,0.004029805555555556,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.7005,-83.25392,98.41,72.0,72,0.0013668055555555556,0.26934,0.005396611111111111,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70047,-83.25378,11.95,72.0,72,0.0001659722222222222,0.28129000000000004,0.005562583333333333,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70031,-83.25216,135.79,72.0,72,0.001885972222222222,0.41708,0.007448555555555555,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70031,-83.25216,21.3,72.0,72,0.00029583333333333333,0.43838,0.007744388888888888,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70031,-83.2519,3.28,72.0,72,4.555555555555555e-05,0.44166,0.007789944444444444,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70031,-83.25186,9.83,72.0,72,0.0001365277777777778,0.45149,0.007926472222222222,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70031,-83.25174,372.28,72.0,72,0.005170555555555556,0.82377,0.013097027777777777,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70044,-83.2472,57.4,72.0,72,0.0007972222222222222,0.88117,0.013894249999999999,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70046,-83.2465,33.61,72.0,72,0.0004668055555555556,0.91478,0.014361055555555554,Not present,Present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70047,-83.24609,78.69,69.0,72,0.0010929166666666665,0.9934700000000001,0.01545397222222222,Not present,Present,Present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70049,-83.24513,102.54,64.0,72,0.0014241666666666667,1.0960100000000002,0.016878138888888887,Not present,Present,Present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70053,-83.24388,114.03,46.0,72,0.00158375,1.2100400000000002,0.01846188888888889,Not present,Present,Present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present
42.70021,-83.24247,41.13,89.0,89,0.00046213483146067424,1.2511700000000003,0.018924023720349563,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
42.69963,-83.24244,64.48,89.0,89,0.000724494382022472,1.3156500000000004,0.019648518102372035,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
42.69932,-83.24243,34.45,89.0,89,0.00038707865168539327,1.3501000000000005,0.020035596754057427,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
42.69893,-83.24241,43.35,89.0,89,0.00048707865168539326,1.3934500000000005,0.02052267540574282,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
42.69874,-83.2424,21.12,89.0,89,0.00023730337078651685,1.4145700000000005,0.020759978776529336,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
42.69819,-83.24238,61.12,89.0,89,0.0006867415730337079,1.4756900000000006,0.021446720349563044,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
42.69773,-83.24236,51.13,89.0,89,0.000574494382022472,1.5268200000000005,0.022021214731585515,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
42.69704,-83.24234,76.67,89.0,89,0.0008614606741573034,1.6034900000000005,0.02288267540574282,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
42.69594,-83.24229,122.26,89.0,89,0.0013737078651685395,1.7257500000000006,0.02425638327091136,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
42.69566,-83.24228,31.11,89.0,89,0.0003495505617977528,1.7568600000000005,0.02460593383270911,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
42.69539,-83.24226,30.04,89.0,89,0.00033752808988764043,1.7869000000000006,0.02494346192259675,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
42.69462,-83.2422,85.69,89.0,89,0.0009628089887640449,1.8725900000000006,0.025906270911360794,Present,Not present,Present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Not present,Present,Not present,Not present,Not present
